1 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
2 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
3 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
4 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
5 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
6 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
7 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
8 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
9 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
10 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
11 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
12 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
13 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
14 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
15 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
16 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
17 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
18 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
19 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
20 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
21 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
22 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
23 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
24 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
25 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
26 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
27 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
28 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
29 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
30 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
31 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
32 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
33 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
34 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
35 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
36 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
37 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
38 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
39 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
40 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
41 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
42 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
43 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
44 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
45 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
46 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
47 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
48 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
49 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
50 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
51 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
52 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
53 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
54 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
55 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
56 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
57 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
58 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
59 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
60 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
61 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
62 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
63 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
64 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
65 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
66 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
67 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
68 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
69 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
70 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
71 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
72 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
73 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
74 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
75 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
76 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
77 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
78 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
79 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
80 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
81 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
82 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
83 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
84 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
85 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
86 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
87 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
88 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
89 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
90 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
91 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
92 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
93 ('+', '*', '+', '-', '-') (25, 100, 7, 9, 3, 7)
94 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
95 ('+', '*', '+', '-', '*') (25, 100, 7, 9, 3, 7)
96 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
97 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
98 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
99 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
100 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
101 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
102 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
103 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
104 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
105 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
106 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
107 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
108 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
109 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
110 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
111 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
112 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
113 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
114 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
115 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
116 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
117 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
118 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
119 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
120 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
121 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
122 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
123 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
124 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
125 ('+', '*', '-', '+', '-') (25, 100, 7, 3, 9, 7)
126 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
127 ('+', '*', '-', '+', '*') (25, 100, 7, 3, 9, 7)
128 ('+', '*', '-', '+', '/') (25, 100, 7, 3, 9, 7)
129 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
130 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
131 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
132 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
133 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
134 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
135 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
136 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
137 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
138 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
139 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
140 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
141 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
142 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
143 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
144 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
145 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
146 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
147 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
148 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
149 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
150 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
151 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
152 ('-', '*', '*', '+', '-') (25, 9, 7, 7, 100, 3)
153 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
154 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
155 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
156 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
157 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
158 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
159 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
160 ('-', '*', '*', '-', '+') (25, 9, 7, 7, 3, 100)
161 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
162 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
163 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
164 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
165 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
166 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
167 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
168 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
169 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
170 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
171 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
172 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
173 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
174 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
175 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
176 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
177 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
178 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
179 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
180 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
181 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
182 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
183 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
184 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
185 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
186 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
187 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
188 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
189 ('+', '*', '+', '-', '-') (100, 25, 7, 9, 3, 7)
190 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
191 ('+', '*', '+', '-', '*') (100, 25, 7, 9, 3, 7)
192 ('+', '*', '+', '-', '/') (100, 25, 7, 9, 3, 7)
193 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
194 ('+', '*', '-', '+', '-') (100, 25, 7, 3, 9, 7)
195 ('+', '*', '-', '+', '/') (100, 25, 7, 3, 9, 7)
196 ('+', '*', '-', '+', '*') (100, 25, 7, 3, 9, 7)
